,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-02,54.37653955983808,54.62108612060547,53.997881190309606,54.62108612060547,10390800.0,0.0,0.0
2013-01-03,54.6289818118791,54.7078672244997,53.94266608308033,54.27399444580078,8910100.0,0.0,0.0
2013-01-04,54.218777994974246,54.573765386848095,53.91111463182617,54.47909927368164,6438000.0,0.0,0.0
2013-01-05,,,,,,,
2013-01-06,,,,,,,
2013-01-07,54.297666869302454,54.36866194476731,53.74545686854147,53.95845413208008,6201400.0,0.0,0.0
2013-01-08,53.86377937941817,54.34498820901249,53.80855899005019,54.10832595825195,5866900.0,0.0,0.0
2013-01-09,54.16356090830726,54.20300061060667,53.816457824069246,54.092559814453125,5055200.0,0.0,0.0
2013-01-10,54.16356507729654,54.45544176735163,53.4220288015561,53.926902770996094,11453800.0,0.0,0.0
2013-01-11,54.1162313648747,54.266117899972954,53.80857396441081,54.139896392822266,6224500.0,0.0,0.0
2013-01-12,,,,,,,
2013-01-13,,,,,,,
2013-01-14,54.029439033848774,54.17143517661277,53.72967207404519,53.87955856323242,5490400.0,0.0,0.0
2013-01-15,53.792787721024055,54.621093613984954,53.721786633872306,54.415992736816406,6140400.0,0.0,0.0
2013-01-16,54.384436148622584,54.723648845352564,54.34499043235836,54.59742736816406,4917900.0,0.0,0.0
2013-01-17,54.668431828103294,54.68420650443989,54.202997625456156,54.313438415527344,7232600.0,0.0,0.0
2013-01-18,54.313432812824814,54.589534759521484,54.313432812824814,54.589534759521484,7813400.0,0.0,0.0
2013-01-19,,,,,,,
2013-01-20,,,,,,,
2013-01-21,,,,,,,
2013-01-22,54.471218398345464,54.944536957043084,54.40021730432621,54.88931655883789,5747900.0,0.0,0.0
2013-01-23,54.73942436875627,54.93664091599017,54.55009816861171,54.81830978393555,6365400.0,0.0,0.0
2013-01-24,54.94453662125675,55.212748262736525,54.70787433406827,55.05497741699219,9139000.0,0.0,0.0
2013-01-25,55.14963762391109,55.22063269131426,54.376546118061306,54.431766510009766,7967700.0,0.0,0.0
2013-01-26,,,,,,,
2013-01-27,,,,,,,
2013-01-28,54.49487165508657,54.826193972767186,54.273990109966164,54.707862854003906,7054800.0,0.0,0.0
2013-01-29,54.597439808010385,55.37841581570032,54.58954945924549,55.13386917114258,9560900.0,0.0,0.0
