date,Open,Close,Close_pred
08/11/2021,383.2633362,387.6466675,385.90408
09/11/2021,391.2000122,341.1666565,378.1036
10/11/2021,336.8033447,355.9833374,369.1392
11/11/2021,367.5899963,354.5033264,339.88107
12/11/2021,349.1666565,344.4733276,348.42676
13/11/2021,345.8477681,342.2477722,352.6914
14/11/2021,342.5288798,340.0222168,340.16437
15/11/2021,339.2099915,337.7966614,336.00623
16/11/2021,334.436676,351.5766602,331.38928
17/11/2021,354.5033264,363.0033264,327.78943
18/11/2021,368.8500061,365.4599915,337.01776
19/11/2021,366.2900085,379.019989,344.58267
20/11/2021,373.3411153,381.2210999,348.44138
21/11/2021,380.3922221,383.4222107,354.93866
22/11/2021,387.4433289,385.6233215,356.41147
23/11/2021,389.1700134,369.6766663,358.90012
24/11/2021,360.1300049,372,360.9662
25/11/2021,363.3099976,366.3200073,352.312
26/11/2021,366.4899902,360.6400146,353.88385
27/11/2021,366.6588847,366.758901,351.67712
28/11/2021,366.8277791,372.8777873,350.12244
29/11/2021,366.9966736,378.9966736,352.87622
30/11/2021,381.456665,381.5866699,355.02173
01/12/2021,386.8999939,365,356.8415
02/12/2021,366.3533325,361.5333252,358.05234
03/12/2021,361.5966797,338.3233337,350.8832
04/12/2021,352.3433431,337.6611125,345.28708
05/12/2021,343.0900065,336.9988912,335.47247
06/12/2021,333.8366699,336.3366699,333.83173
07/12/2021,348.0666809,350.5833435,331.00085
08/12/2021,350.9033203,356.3200073,331.00714
09/12/2021,353.5466614,334.6000061,340.3979
10/12/2021,336.25,339.0100098,342.6456
11/12/2021,335.3988851,333.3855591,331.3882
12/12/2021,334.5477702,327.7611084,330.00812
13/12/2021,333.6966553,322.1366577,325.53085
14/12/2021,315,319.5033264,318.98486
15/12/2021,317.7366638,325.3299866,315.37973
16/12/2021,331.5,308.9733276,312.1207
17/12/2021,304.9233398,310.8566589,316.54962
18/12/2021,304.4711202,307.2311096,307.61902
19/12/2021,304.0189006,303.6055603,305.53214
20/12/2021,303.5666809,299.980011,302.70538
21/12/2021,305.6233215,312.8433228,300.3274
22/12/2021,321.8866577,336.2900085,298.06152
23/12/2021,335.6000061,355.6666565,305.206
24/12/2021,341.1725082,357.9116592,318.7893
25/12/2021,346.7450104,360.156662,332.19974
26/12/2021,352.3175125,362.4016647,333.74042
27/12/2021,357.8900146,364.6466675,336.1998
28/12/2021,369.8299866,362.8233337,338.98724
29/12/2021,366.2133179,362.063324,342.22266
30/12/2021,353.7766724,356.7799988,344.54803
31/12/2021,357.813324,352.2600098,344.8946
01/01/2022,366.0699972,368.1488953,339.7202
02/01/2022,374.3266703,384.0377808,338.67734
03/01/2022,382.5833435,399.9266663,349.3795
04/01/2022,396.5166626,383.1966553,355.37833
05/01/2022,382.2166748,362.706665,366.8947
06/01/2022,359,354.8999939,355.3403
07/01/2022,360.1233215,342.3200073,350.05188
08/01/2022,351.1933289,345.7822266,343.13394
09/01/2022,342.2633362,349.2444458,336.11917
10/01/2022,333.3333435,352.706665,337.36572
11/01/2022,351.2233276,354.7999878,339.95682
12/01/2022,359.6166687,368.7399902,339.11072
13/01/2022,369.6900024,343.8533325,342.77924
14/01/2022,339.9599915,349.8699951,349.61914
15/01/2022,340.5208282,348.2783279,338.01434
